Artist Name	Organization	Country	Media / General	Medium of Work	Product Image	Years Attended	Booth #	Longitude	Latitude	Artist Image	Artist Bio 1
Yahaya Kabore		Burkina Faso	Other (Musical Instruments)	Burkinabé musical instruments		2015	65				Trained as a teenager by an elder, Yahaya studied how to find the best types of wood and materials for each instrument, learning to play as he built them. Instruments such as the djembe drum, n’goni, kora and balafon have a specific history and are closely linked to an aspect of his culture.   Instruments take up to a month to complete and require resources from multiple villages. Yahaya owns a studio and organizes musical workshops in local schools, helping the students learn not only about the instruments and music, but also important cultural knowledge.  It is important to Yahaya to keep the musical tradition and its history alive, he wants the younger generations not just to hear the music, but also to know the meanings of the songs and the ceremonial purpose of each instrument.
Chantha Nguon	Stung Treng Women's Development Centre/Mekong Blue	Cambodia	Textiles	Silk clothing, accessories and wall hangings woven in traditional Khmer style		2011, 2012, 2013, 2015	39				Chantha started the Stung Treng Women’s Development Centre in 2002 with a $3,000 grant from Partner in Progress in a small house with two traditional wooden weaving looms and a big dream. The project focuses on teaching and mentoring local women in the art of ikat silk weaving while developing life skills that assist in breaking the cycle of poverty and illiteracy. The Mekong Blue silk products are now regarded as one of the finest silk products in Cambodia. Chantha is recognized as a UNESCO Award of Excellence Winner.
Gwaai Edenshaw		Canada (Haida Nation) 	Jewelry	Gold and silver jewelry		2015	66				Gwaai Edenshaw is a Haida artist primarily known for his metalwork jewelry.  He grew up in a traditional family with ancestral roots from the archipelago of Haida Gwaii, in northern British Columbia. At age 16, Gwaai was mentored by the renowned Haida artist Bill Reid and at age 18 he carved his first 40-foot totem pole with his father Guujaaw. This encouraged him to experiment with Haida imagery that he now incorporates into his metal jewelry.  In 2009 he launched his jewelry line, featuring cropped bentwood box designs from the Raven creation story, later adding designs from Chilkat mythology.
Fang Yang		China	Textiles	Bee-wax resist-dyed and embroidered clothing and housewares		2015	59				Fang Yang’s work is characterized by its unique compositions, intricate stiches, and detailed patterns.  Traditional symbols, floral motifs, and animals are represented in her hand-woven, bee wax resist-dyed and embroidered textiles. This style is considered the major living visual art form of the Miao people.  Using a copper blade, she draws designs on cotton or linen fabric using bee wax mixed with mineral colors. As a child, Fang learned the technique from her mother, now as a master folk artist, she is active in teaching the younger generation. Her textiles have been exhibited widely in Beijing, Hong Kong, and Paris.
Kalsang Tashi		China (Tibet)	Painting	Tibetan Thangka paintings		2013, 2014, 2015	57				Kalsang creates Thangka paintings, a Tibetan Buddhist art form that encourages personal journeys for spiritual development and is one of the three legendary art works of Tibet. He has travelled to many monasteries to study Tibetan Thangka styles, and through his experience has created his own style of bold and precise, yet delicate artwork. These vibrant paintings are used to represent the sacred objects of Buddhism. His process requires very rigorous rules of measurement, proportion, and a calm and fully concentrated state of mind. In addition to these paintings, Kalsang focuses on the propagation of traditional Tibetan culture and philosophy.
Reinel Mendoza Montalbo	Cooperativa Divino Nino	Colombia	Textiles	Zenu indigenous hats and jewelry woven of Cana Flecha palm		2012, 2013, 2014, 2015	69				Reinel is a member of Divino Niño, an extended family of 40 artists, working to preserve Zenu culture through their art. They are known for their hand woven black and beige “vueltiao sombreros” (hats with revolving bands of color) and jewelry made from cana flecha, a palm found throughout the American tropics. The hats today have become a symbol of national pride for all of Colombia. The hats have different motifs of geometric shapes and animals that have religious or totemic meaning. The artists have expanded their practice to now make handbags, bracelets, and other jewelry.
William Lopez Arnachez and Olga Mercedes Siosi Epiayu	Fundacion Einat	Colombia	Textiles	Crocheted shoulder bags and woven hammocks		2014, 2015	70				Olga is a Wayúu artist making Mochillas, a fine-crocheted shoulder bag of brightly-colored cotton with bold designs. These bags are made in many sizes and used for carrying everything from pocket change to heavy objects. The symbols on the bags date back centuries, and reflect daily activities and important concepts, such as bright stars and mother earth. The art of weaving Mochillas and hammocks is passed from mother to daughter. William is an artist and administrator of Fundacion Einat, a cooperative of Wayúu artists that is improving the lives of their weavers and strengthening and promoting Wayúu culture.
Carlos Caceres Valladares		Cuba	Painting	Naïve paintings and drawings		2011, 2012, 2013, 2014, 2015	107				Carlos began painting as a child in elementary school and today is nationally recognized in Cuba. His paintings touch on the themes of the Yoruba religion, Santería, and its deities, the Orishas, as well as the customs carried on by the Guajiros, the people of the Cuban countryside. Carlos’ technique of applying acrylic paint with used toothpaste tubes creates a vibrant and pointillistic style. Known for his use of bright colors and intricate details, he hopes his work captures the joy and love that radiates from the people he paints.
Cenia Gutiérrez Alfonso 		Cuba	Painting	Naïve paintings and drawings		2011, 2012, 2013, 2014, 2015	107				Cenia began painting as a small child and continues today to create folk paintings and ink drawings in Cienfuegos, Cuba. She studied the work of master painters from her area and learned from their styles. Representing her community in her paintings through their legends, popular beliefs, fiestas, and religions, she enjoys capturing the lives of those around her on canvas. She is particularly known in her community as the “painter of guijes,” or fairies and mystical figures. Through her work, she hopes people get to learn about Cuba and its history and traditions.
Luis Rodriguez Ricardo and Luis Joaquin Rodriguez Arias	El Grupo Bayate	Cuba	Painting	Naïve paintings and drawings		2014, 2015	108				Luis is a self-taught painter who has passed on this painting tradition to his son. Along with other members of El Grupo Bayate, they create works that showcase the cultural traditions and daily life of their community. The oil paintings depict their love of their city, its people, and landscapes. El Grupo Bayate is a group of painters that joined together 20 years ago with hopes to preserve their cultural identity through paintings and public murals. El Grupo Bayate teaches art classes to children and organizes community art projects. They hope that their art will create a sense of pride and belonging within their community and promote awareness about the roots and history of painting in their town.
Nancy Reyes Suarez		Cuba	Painting	Naïve paintings and drawings		2012, 2013, 2014, 2015	107				Nancy’s paintings are filled with strong central figures and ample parts of magic and color. Every square inch is filled with figures, designs, and bright pigments. As a child she watched people paint on the beach and was inspired to create her own art. Today she uses a variety of materials including cloth, used ballet slippers, pencils, pens, and palette knives to make raised, tactile paintings. Her work expresses the environment around her, the city and the countryside, each with energy, light, and the spirituality of Santeria, which she practices and which guides her.
Roberto Gil Esteban		Cuba	Painting	Naïve paintings, drawings, and woodblock prints 		2011, 2012, 2013, 2014, 2015	107				Roberto began painting as a child as a way to process and understand the world around him, depicting all of his daily experiences. He continues to do this in his current work, painting the people and workers in the countryside, how they celebrate their love of animals, their children, and homes. He is inspired by his homeland and feels great pride in portraying the cultural traditions of his people. With bright colors and simplicity of lines, the children of his village adore his work and he enjoys having them assist him in creating murals and larger pieces of art.
Ramona De Disla, Maria Infante, Ecolastica Valera Muñoz	Uniendo Manos Dominicanas	Dominican Republic	Other (recycled)	Crocheted handbags from recycled plastic bags		2013, 2014, 2015	77				The Creaciones Ecológicas La Colonia Co-op is a group of 25 Dominican women who recycle used plastic grocery bags into crocheted purses and totes. While the materials of their craft are new, the handwork techniques have been practiced for generations by the women of the Dominican Republic. Each finished product takes an average of 10-20 hours to complete and consists of over 120 recycled plastic grocery bags. Sales help support the women of the cooperative and their families, sustain educational programs for local children, and address a wide variety of medical and community needs in La Colonia.
Negist Ethiopia		Ethiopia	Several	Woven scarves, home accessories, jewelry, ceramics and wooden items		2015	22				Negist Ethiopia is a business that supports a group of talented potters, jewelers, weavers, embroiderers, cotton spinners, and dyers who make products stemming from age-old traditions.  Handmade textiles are woven, dyed, and embroidered by skilled artists, ensuring integrity, beauty, and uniqueness. Creative designs and traditional methods are incorporated into their ceramics, jewelry, and baskets.  These art forms have been found in Ethiopian households for thousands of years and are an integral part of daily life and culture. Negist Ethiopia improves the lives of the artists through showcasing art that is created with care.
Blaise Cayol		France	Baskets	Provençal Wicker Work Baskets, Trays and Racks 		2013, 2014, 2015	41				Blaise maintains the tradition of wicker basket weaving that largely disappeared in France after WWII. Gathering different types of willow and other local plants, he weaves baskets for daily use as well as for decoration.  Motivated by relatives and friends that remembered the beauty of baskets, he travelled throughout his country to study and learn techniques. His wife assists in collecting the materials and making the baskets. Blaise is working on building a community of basket weavers, reaching out to local design schools as well as collaborating with other artists.
François Fresnais		France 	Ceramics	Glazed earthware		2007, 2008, 2009, 2010, 2011, 2012, 2013, 2015	79				François Fresnais has applied his professional training in ceramics to the revival of a centuries-old tradition of pottery making in France. This tradition, through which potters have long worked to transcribe the daily life of the people, nearly disappeared after the Second World War. Having studied these ancient shapes and patterns, he set up a workshop in the region of Burgundy, which has a strong tradition in pottery. Working in partnership, François creates the forms and his wife, Sylvie, executes the decorations.  Aiming to keep the spirit of this tradition alive, they continue to be inspired and guided by other French and international slipware traditions.
Ebenezer Nomoda Djaba		Ghana	Beadwork	Recycled glass beads		2009, 2010, 2011, 2012, 2014, 2015	122				Nicknamed after the Ghanaian currency, Cedi has been making beads from recycled glass since he was seven years old and would sneak away from dinner to fill glass molds. Glass beads play an important role in Cedi’s Krobo culture where they illustrate wealth and status. Cedi now makes beads in his workshop, using a mortar and pestle to crush recycled bottles and then filling molds with the glass. The glass is fired in clay kilns and the cooled beads are smoothed and strung. Cedi has received numerous awards for his work.
Amalia Gue	Olga Reiche/Indigo 	Guatemala	Textiles	Maya K’eckchi weaving on backstrap loom 		2011, 2012, 2013, 2014, 2015	123				Amalia represents Ixbalamke, a cooperative of women dedicated to the production of traditional textiles and preservation of traditional weaving. They live in the community of Samac de Cobán in Alta Verpaz and are inspired by the landscape and beautiful views of the region. The members of the cooperative maintain the intricate technique of gauze weaving and the use of coyuche, or natural brown cotton, practices that are rapidly disappearing. They also have a project making smaller sized looms for younger generations to continue to learn the tradition of weaving.
Edgar Oswaldo Perén Tubín		Guatemala	Paintings	Painting on canvas and wood		2015	120				Edgar’s brightly colored and intricately detailed paintings depict Mayan culture, animals, and local festivities. His work shows local customs and ceremonies, as well as daily life—men working the fields, women weaving, and people joined in celebration together. Taught by his father, Edgar hopes his passion for painting will help preserve Mayan traditions and ways of life. His joyful paintings are his way of giving back to his community and showing the beauty of Mayan life to the world.
Lina Barrios		Guatemala	Textiles	Perrajes (shawls) on Maya backstrap loom		2015	11				Lina’s perrajes, all-purpose traditional shawls, have designs representing plants, animals, the stars, and symbols of her spirituality. The bright colors signify the rainbow and the feathered weaving pattern is inspired by birds. Perrajes can be used as adornments, to carry babies or purchases, or for decorations in the home. While serving as an anthropologist in various highland Maya communities, she learned to weave and returned to her Maya K’iche’ roots. Weaving is an essential part of Maya culture and has two traditional stories of its significance. In 2004, she and others of her weaving group founded a museum, featuring traditional Maya clothing, weaving classes for children, and a language school and library. 
Rosmery Pacheco	Cooperativa de Alfombras de Mujeres Maya en Guatemala	Guatemala	Textiles	Hooked rugs with traditional Mayan and alfombras designs		2014, 2015	115				Rosmery draws inspiration from traditional Mayan designs, taking recycled material and turning it into hooked rugs. This is a new art form in the long-standing Mayan tradition of textiles.  The cooperative’s mission is for Mayan women to make a sustainable living from their art and to preserve the history and traditions of the Mayan culture. Over 50 women throughout the Guatemalan highlands are part of this rug hooking cooperative, each one using unique designs to represent their ancestry, heritage, and community traditions.
Josnel Bruno		Haiti	Metalwork	Recycled oil drum bowls and platters		2012, 2013, 2014, 2015	34				Josnel was an apprentice to master Serge Jolimeau and is now a metalworker in Croix-des-Bouquets, Haiti who transforms discarded oil drums into remarkable artwork with his skill and creativity. He describes himself as a “difficult child” who only found purpose once he was taught metalworking. His hammered, chiseled, punched, and incised bowls and platters represent yet another innovation within the tradition that now defines Josnel’s community to the world. Each piece is a way for him to pay tribute to his rich culture and religious beliefs. He is proud to be teaching the art to young apprentices, continuing the tradition.
Serge Jolimeau 		Haiti	Metalwork	Recycled oil drum sculptures		2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015	118				Serge was inspired to create art as a child by the blacksmiths in his neighborhood. He learned metal work from the Louis Juste brothers in Croix des Bouquets, which is now famous for its metal workshops. He trains many young artists in the art, allowing them use of his shop. From recycled oil drums, he brings to life beautiful mermaids and shining suns. Serge opened his own shop by the time he was 20. His work has been shown at the Brooklyn Museum and at LACITA in Biarritz, France.
Valris Valentin		Haiti and Benin	Beadwork	Sequined and appliqued Drapo Vodoo on canvas		2015	48				Valentin’s ceremonial vodoun flags are brightly embroidered with sequins, beads, shells, and bone. Filled with traditional symbols, historical events, and important saints and figures, each flag helps to tell the history of the Haitian people.  The flags are the center of most ceremonies and hold a place of reverence in the community. His work is incredibly intricate and carefully beaded; the finished product has a glimmering effect.  Taught by his father, the renowned artist Georges Valris, Valentin has developed his own unique style and is researching and drawing inspiration from the African roots of his ancestors. He has started his own workshop, teaching others and continuing the tradition.
William Adjété Wilson 		Haiti and Benin	Beadwork	Sequined and appliqued Drapo Vodoo on canvas		2015	48				William’s art is greatly inspired by his travel through Africa and his education and study in the art and spirituality of Vodou. His large-scale pastel and other artwork focus on cultural identity and the relationships between continents due to slavery. In collaborating with Valentin Valris from Haiti, he wanted to explore modern Haitian Art and its African roots and context. Their vodoun flags echo back to African origins, while also representing the history of the Haitian people. He hopes his work will keep his heritage alive, while also showcasing the influence of African art and culture across the globe.
Levente Sütő		Hungary	Woodwork	Transylvanian-Hungarian painted and carved furniture and other home items		2012, 2013, 2015	121				A 14th generation Transylvanian-Hungarian furniture maker, Levente creates vivid hand-painted Vargyas floral carvings for the home and special occasions, including elaborate boxes, children’s furniture for baptisms, and the carved wooden headstones specific to the Carpathian basin of Hungary. Using organic paints, made by mashing minerals on stone plates to create the rich colors, Levente creates harmoniously-proportioned designs carrying deep symbolism. His family’s works are used in many places— the carvings are found inside churches, on furniture in homes, on the decorative boxes given at celebrations, and even on household items such as washboards and gates.
Abdulaziz Alimamad Khatri	Somaiya Kala Vidya	India	Textiles	Bandhani dyed scarves and shawls		2015	24				Abdulaziz’s bandhani scarfs are known for their intricate patterns and unique texture. His family has practiced the art for 10 generations and he learned special techniques from his mother and father.  An expert in natural dyes, he knots the fabric to create traditional patterns as well as designs that are inspired by nature.  He is a graduate of Kala Raksha Vidhyalaya, a design institute for traditional artists. He has also undertaken special training in water conservation and environmental concerns related to dyes. Women wear bandhani for auspicious occasions, with particular patterns and colors identifying community, age, and marital status.
Abduljabbar Mahmadhushen Khatri and Abdullah Mohmedhussain Khatri		India	Textiles	Bandhani textiles 		2007, 2008, 2009, 2010, 2013, 2014, 2015	49				The Khatri brothers were born into a family of traditional tie-dyers, but that ancestral line had been broken by their great-grandfather. Drawn irresistibly back toward this traditional Kutch craft, the brothers took advantage of the knowledge of uncles and cousins still in the trade, as well as college studies, to reinvigorate the traditional family business. The brothers experimented with new fabrics and international markets, merging traditional and contemporary designs. From naturally dyed cotton Bandhani shawls, in the traditional indigo, to Habuti silk dupattas (long, multipurpose scarfs), their work has won awards and international acclaim.
Baldev Baghmare		India	Metalwork	Lost wax casting "bell metal" animals, figurines and ornamental panels		2014, 2015	19				Baldev comes from a family of metalworkers, using the traditional and complex technique of lost wax casting to create bell metal jewelry, housewares, tools, and religious figures and items. Musical instruments, festive lamps, and bells are still made as they have been for centuries. Lost wax casting requires great precision and skill, and often takes the work of multiple artists to complete. Baldev works alongside his family and their art is the focus of their lives. In their village, nearly all families are metalworkers and everyone works together to create pieces for celebrations, religious ceremonies, and village fairs.
Bani Mondal and Animesh Mondal	Supported by Link Hands for Humanity	India	Textiles	Kantha embroidered bed covers, home accessories and bags		2014, 2015	111				Bani is a textile artist and member of a cooperative of domestic violence survivors who collectively make folk art to support their independence and their families. Using the remnants of old saris and other fabrics, the women take what would have otherwise been discarded and transform it into something useful and beautiful. This method of quilting, Kantha, transcends caste and is practiced by wealthy and poor alike. The 50 women of the group share duties and work collectively to stitch, deciding among themselves who shall stitch a particular part, based on the strengths of each artist. 
Dahyalal Kudecha		India	Textiles	Silk, wool, and cotton shawls and stoles		2014, 2015	8				Dahyalal follows in the tradition of his family and village, weaving traditional and contemporary designs for over 25 years. Using hand-dyed yarn, these carefully patterned pieces have traditional and symbolic meaning. Though men traditionally do this style of weaving, Dahyalal taught his wife and they now weave together with their son as a family. Knowing preferences for ceremonial fabrics, family histories, and personal tastes, he is proud to clothe many communities. He is a faculty member at Kala Raksha Vidhyalaya, an institute of design for traditional artists, and he enjoys using his design education to teach other artists and to conduct weaving workshops.
Dharmendra Soni		India	Jewelry	Kundan gold jewelry with gems and stones		2015	74				Dharmendra makes Kundan jewelry, known for its bright gemstones and the brilliant shine of its gold. The beauty of his work lies in the precise and skillful setting of the stones on one side and the intricate enameling on the reverse. Kundan work is unique as the gem receives natural light only from above, as the entire lower half is buried in gold. Worn only for special occasions, Kundan jewelry is known as the jewelry for gods and goddesses. Dharmendra learned the art from his father and uncle, who recognized his talent and encouraged him to study and continue the art form. While many in his community are using machines, Soni works by hand in the traditional way, using the same tools as his grandfather.
Janmamad Salemamad Luhar	Supported by INDIKA 	India	Metalwork	Copper Coated, Forged Metal Bells, Wind Chimes, and Musical Instruments		2012, 2013, 2014, 2015	95				Janmamad represents the ancient tradition of melodic, forged-metal bell and wind chime making of his community in Kutch, Gujarat, India. The metal craftsmen of his village have preserved and practiced the art of bell making for over 300 years. Originally used by local cattle, sheep, and goat herders, the melodic iron and copper-coated bells were made to adorn the animals’ necks and were thought to create good vibrations in the body of the animals to increase the productivity of the herds. Today, the highly-polished and finely-tuned bells hang in entranceways and are combined to make wind chimes and other forms of festive decoration.
Juned Ismail Khatri		India	Textiles	Ajrakh hand block printed textiles with natural dyes		2015	92				Juned is a 10th generation textile artist practicing the traditional skill of hand block Ajrakh printing. His Ajrakh textiles are known for their jewel-like colors and complex geometric and floral patterns. The cloth is made in a 14-step process and requires a high level of skill and concentration. Juned has started to implement new products and color combinations, and his work now has an extensive range of intricate designs. The bright blues and reds of his work are achieved with natural dyes and expert manipulation of materials. His award winning textiles are traditionally given as gifts or on special occasions as a symbol of respect.
Mamta Varma and Rama Singh	Bhairvis Chikan	India	Textiles	Chikan embroidery of Lucknow on cotton muslin and silk, clothing and home accessories		2014, 2015	43				Mamta represents a group of women artists who make traditional Chikan embroidery. This delicate needlework often features white thread on white cloth, and the stiches used are determined by the design. The chikan motifs are transferred onto the cloth through wooden printing blocks, and the blocks are instrumental in preserving distinctive style and design identity. Through Bhairvis Chikan, women embroiderers are empowered and are better able to support their families. The artists are able to share design ideas and stitching techniques, while escaping the rules and biases of religion and caste to create art together in communal harmony.
Manisha Mishra		India	Painting	Madhubani/Mithila painting on paper, canvas, and fabric		2015	30				Manisha learned to paint ritual designs on the floors and walls of her home from her mother and grandmother. Traditionally, Madhubani paintings adorn the walls and floors of mudhouses for ceremonial and auspicious occasions.  Honoring the traditional techniques of Madhubani painting, she now puts her work on canvas.  Her festive paintings depict traditional motifs, personal experiences, and mythological features, as well as contemporary themes. This art is characterized by repetitive figures on borders, use of bright colors, and monochrome line work. Each piece expresses her desires, dreams, expectations, and hope. She hopes to form a school to teach the techniques and stories of the art form to young girls and empower them.
Pokhar Mal and Kailash Kanwar	Supported by INDIKA for the Barefoot College	India	Textiles	Block print and appliqued Bell Tota (prosperity hens) and Toran (doorway blessings)		2015	95				Pokhar Mal, Kailash Kanwar and members of their cooperative make brightly-colored bell totas. Known as “Prosperity Hens,” these cotton birds are made of recycled fabric scraps, glass and silver beads, also embellished with sequins. These strands of birds can be found in rural Rajasthan and symbolize prosperity and good luck.  The Barefoot College is a cooperative that aims to improve the quality of life for rural artists. The women of the cooperative have broken the boundaries of the caste system, sitting, eating, and working together. Through their art, they have gained economic independence, allowing them to provide a better life for their families.
Qasab-Kutch Craftswomen's Producer Co. Ltd.		India	Textiles	Rabari embroidered applique and patchwork shawls, bags, dolls, wall hangings and accessories		2015	13				Meghuben Rabari, Nanduba Jadeja, Madhuben Rabari, Bhalkunvarba Sodha, and Namabai Harijan are a few of the artists representing Qasab-Kutch Craftswomen. Meghuben hand embroiders beautiful and colorful textiles for daily wear and home decoration. She uses a style passed on from generations of women in her family. The labor-intensive process requires closely stitched patterns, made up of geometrical designs and elaborate motifs influenced by her surroundings. Qasab represents 1,200 women embroiderers from 11 ethnic groups throughout Kutch and aims to empower women to take charge of their lives through creating traditional art. The embroideries of each community are distinct and contain unique techniques and designs. Qasab encourages its artists to express their creativity and to embrace the distinctions of their ethnic group’s unique style, so that the beautiful embroidery of the region will not become generic.
Ramu Devraj Harijan		India	Textiles	Embroidered quilts, bags, wall decorations and accessories		2010, 2011, 2012, 2013, 2015	124				Ramu is a Meghwal who was born in the Banni region of Kutch, where quilt making and embroidery are integral to the culture. Men source and sew the cloth while women are skilled in embroidery and mirrored work. At 12, Ramu made his first quilt for his mother to embroider. Later traveling to government-sponsored craft fairs, Ramu joined a company in Bhuj where he learned new products and improved his skills. Ramu has now trained two of his brothers and two nephews in the work.
Santosh Kumar Rathi		India	Textiles	Rajasthani patchwork textiles		2013, 2015	85				Santosh gives new life to worn yet treasured embroideries, such as dresses and pillows, by turning them into patchwork decorative wall hangings. Embroidery has always played an integral role in local customs, often serving as required part of a dowry, and now his wall hangings, made from these traditional presents, are being used for modern dowry gifts. Santosh’s family often repurposed older pieces into new textiles and he followed in the tradition, though it was uncommon for young men. He takes great pride in continuing this art form. When agriculture was the only source of income, not enough rainfall caused financial trouble. This desert tradition provides sustainable income in his community and for his family.
Sufiyan Khatri		India	Textiles	Ajrakh hand block printed textiles with natural dyes		2015	92				Sufiyan’s family has been involved in the complex process of ajrakh printing for ten generations. Ajrakh fabric is distinguished by its blue and red colors and its intricate geometric and floral patterns, often printed back to back on both sides of the fabric. Across a 14-step production process, wooden block carvers, block printers, dyers, and washers apply their specialized skills. Sufiyan has worked to rebuild his family workshop following the devastating 2001 earthquake in Kutch. Sufiyan learned the art from his father and uncles and is passing it on to the young people in his family.
Tiala Neufeld	Harry L. Neufeld Co.	India	Textiles/ Jewelry	Backstrap loom woven shawls, scarves and accessories		2013, 2014, 2015	139				Tiala’s woven shawls, wrap-around skirts, and shoulder bags are adorned with the designs that demarcate tribe, clan, and individual in the Naga culture. Many are colored in deep blues and rich magentas. The Naga are also known for the jewelry they make and wear, deeply colored glass beads and brass extensions or shells. The woven cane baskets are traditionally made by Naga men and have been used for centuries for utilitarian and ornamental purposes. The style, shape, and designs of the baskets have been used for centuries.
Ani, Herlina, Dinoh, Ida, Milo	Crafts Kalimantan (CK)	Indonesia	Basketry, Weaving 	Rattan wicker baskets, ikat textiles and bags		2014, 2015	12				Crafts Kalimantan (CK) is a network of grassroots NGOs supporting indigenous Dayak weavers across Kalimantan. The Dayak weavers are able to improve the quality of their handcrafted products from natural materials in a sustainable manner. They also gain assistance with marketing opportunities and managing their enterprises. In the last six years, over 400 weavers from 25 villages on the island of Borneo have received assistance by CK. Ani, Herlina, Dinoh, Ida, and Milo are among the artists whose families benefit from CK through the sales of their mats, baskets, and ikat textiles. The motifs in their pieces represent daily life, their environment, and their aspirations. The weaving process is being passed onto a younger generation so they can continue the tradition into the future. CK is supported by the Non Timber Forest Product – Exchange Programme Indonesia Foundation (NTFP EP Indonesia Foundation)
